municipio,year,week,humidity
angra dos reis,2022,44,78.4280652857
angra dos reis,2022,45,77.5391045714
angra dos reis,2022,46,74.1598891429
angra dos reis,2022,47,72.456695
angra dos reis,2022,48,79.7171122857
angra dos reis,2022,49,77.8261457143
angra dos reis,2022,50,77.4627125
angra dos reis,2022,51,82.44815
angra dos reis,2022,52,91.0624066667
angra dos reis,2023,1,86.5923537143
angra dos reis,2023,2,81.3240441429
angra dos reis,2023,3,76.5481482857
angra dos reis,2023,4,72.8050021429
angra dos reis,2023,5,79.388703
angra dos reis,2023,6,82.0833157143
angra dos reis,2023,7,76.6196073
angra dos reis,2023,8,77.4022522222
angra dos reis,2023,9,80.6247953333
angra dos reis,2023,10,83.9766332
angra dos reis,2023,11,78.8907696
angra dos reis,2023,12,67.7115607692
angra dos reis,2023,13,77.48724496
angra dos reis,2023,14,79.4899491429
angra dos reis,2023,15,79.8380042857
angra dos reis,2023,16,71.0559525714
angra dos reis,2023,17,74.0937740741
angra dos reis,2023,18,70.9034558182
angra dos reis,2023,19,76.1600501667
angra dos reis,2023,20,67.9167385
angra dos reis,2023,21,68.8756551429
angra dos reis,2023,22,85.1144837037
angra dos reis,2023,23,81.1429285714
angra dos reis,2023,24,85.5172428571
angra dos reis,2023,25,61.923935875
angra dos reis,2023,26,60.26347992
angra dos reis,2023,27,54.8336962
angra dos reis,2023,28,79.2408285714
angra dos reis,2023,29,84.1272285714
angra dos reis,2023,30,82.0756
angra dos reis,2023,31,85.3114285714
angra dos reis,2023,32,80.6706571429
angra dos reis,2023,33,83.2601142857
angra dos reis,2023,34,77.5038
angra dos reis,2023,35,83.5426857143
angra dos reis,2023,36,79.9762285714
angra dos reis,2023,37,77.8136142857
angra dos reis,2023,38,82.0772142857
angra dos reis,2023,39,84.7884571429
angra dos reis,2023,40,88.7817857143
angra dos reis,2023,41,88.7754285714
angra dos reis,2023,42,85.5262857143
angra dos reis,2023,43,86.2564857143
angra dos reis,2023,44,85.3546571429
angra dos reis,2023,45,77.2070571429
angra dos reis,2023,46,84.7762
angra dos reis,2023,47,85.2692285714
angra dos reis,2023,48,83.9116857143
angra dos reis,2023,49,86.2517714286
angra dos reis,2023,50,81.6826857143
angra dos reis,2023,51,83.7838714286
angra dos reis,2023,52,79.5114571429
angra dos reis,2024,1,85.7979714286
angra dos reis,2024,2,83.5872285714
angra dos reis,2024,3,82.9966714286
angra dos reis,2024,4,88.2011714286
angra dos reis,2024,5,84.9681428571
angra dos reis,2024,6,82.7367714286
angra dos reis,2024,7,82.0382571429
angra dos reis,2024,8,86.8474142857
angra dos reis,2024,9,85.8596
angra dos reis,2024,10,85.5545714286
angra dos reis,2024,11,84.8638714286
angra dos reis,2024,12,85.0845857143
angra dos reis,2024,13,90.5883428571
angra dos reis,2024,14,85.2545857143
angra dos reis,2024,15,86.8229285714
angra dos reis,2024,16,80.0414857143
angra dos reis,2024,17,78.9923428571
angra dos reis,2024,18,73.5840571429
angra dos reis,2024,19,71.0685571429
angra dos reis,2024,20,75.4962714286
angra dos reis,2024,21,82.5671428571
