municipio,year,week,temperature
barra do pirai,2010,7,27.7722191429
barra mansa,2010,7,29.9399588571
belford roxo,2010,7,28.5630474286
bom jardim,2010,7,28.2393377143
bom jesus do itabapoana,2010,7,30.2699247143
cabo frio,2010,7,29.5666668571
cachoeiras de macacu,2010,7,28.5630474286
cambuci,2010,7,30.2699247143
carapebus,2010,7,30.2699247143
comendador levy gasparian,2010,7,28.5630474286
campos dos goytacazes,2010,7,30.2699247143
cantagalo,2010,7,28.2393377143
cardoso moreira,2010,7,30.2699247143
carmo,2010,7,28.2393377143
casimiro de abreu,2010,7,28.2393377143
conceicao de macabu,2010,7,30.2699247143
cordeiro,2010,7,28.2393377143
duas barras,2010,7,28.2393377143
duque de caxias,2010,7,28.5630474286
engenheiro paulo de frontin,2010,7,29.9399588571
guapimirim,2010,7,28.5630474286
iguaba grande,2010,7,29.5666668571
itaborai,2010,7,28.5630474286
itaguai,2010,7,29.9399588571
italva,2010,7,30.2699247143
itaocara,2010,7,30.2699247143
itaperuna,2010,7,30.2699247143
itatiaia,2010,7,26.6606722857
japeri,2010,7,28.5630474286
laje do muriae,2010,7,30.2699247143
macae,2010,7,28.2393377143
macuco,2010,7,28.2393377143
mage,2010,7,28.5630474286
mangaratiba,2010,7,27.7722191429
marica,2010,7,28.5630474286
mendes,2010,7,29.9399588571
mesquita,2010,7,24.2500001429
miguel pereira,2010,7,28.5630474286
miracema,2010,7,30.2699247143
natividade,2010,7,30.2699247143
nilopolis,2010,7,28.5630474286
niteroi,2010,7,28.5630474286
nova friburgo,2010,7,28.2393377143
nova iguacu,2010,7,28.5630474286
paracambi,2010,7,29.9399588571
paraiba do sul,2010,7,28.5630474286
paraty,2010,7,26.6606722857
paty do alferes,2010,7,28.5630474286
petropolis,2010,7,28.5630474286
pinheiral,2010,7,29.9399588571
pirai,2010,7,29.9399588571
porciuncula,2010,7,30.2699247143
porto real,2010,7,26.6606722857
quatis,2010,7,26.6606722857
queimados,2010,7,29.9399588571
quissama,2010,7,30.2699247143
resende,2010,7,26.6606722857
rio bonito,2010,7,27.5888888571
rio claro,2010,7,29.9399588571
rio das flores,2010,7,28.5630474286
rio das ostras,2010,7,28.2393377143
rio de janeiro,2010,7,28.5630474286
santa maria madalena,2010,7,30.2699247143
santo antonio de padua,2010,7,30.2699247143
sao francisco de itabapoana,2010,7,30.2699247143
sao fidelis,2010,7,30.2699247143
sao goncalo,2010,7,28.5630474286
sao joao da barra,2010,7,30.2699247143
sao joao de meriti,2010,7,28.5630474286
sao jose de uba,2010,7,30.2699247143
sao jose do vale do rio preto,2010,7,28.5630474286
sao pedro da aldeia,2010,7,29.5666668571
sao sebastiao do alto,2010,7,30.2699247143
sapucaia,2010,7,28.5630474286
saquarema,2010,7,29.5666668571
seropedica,2010,7,29.9399588571
silva jardim,2010,7,29.5666668571
sumidouro,2010,7,28.2393377143
tangua,2010,7,28.5630474286
teresopolis,2010,7,28.5630474286
trajano de moraes,2010,7,28.2393377143
tres rios,2010,7,28.5630474286
valenca,2010,7,25.9819464286
varre-sai,2010,7,30.2699247143
vassouras,2010,7,28.5630474286
volta redonda,2010,7,27.7722191429
angra dos reis,2010,8,25.6501832857
aperibe,2010,8,29.4071428571
araruama,2010,8,28.5054117143
areal,2010,8,27.7363575714
armacao dos buzios,2010,8,27.5122671429
arraial do cabo,2010,8,28.5054117143
barra do pirai,2010,8,26.4764022857
barra mansa,2010,8,28.9399718571
belford roxo,2010,8,27.7363575714
bom jardim,2010,8,27.5122671429
bom jesus do itabapoana,2010,8,29.4071428571
cabo frio,2010,8,28.5054117143
cachoeiras de macacu,2010,8,27.7363575714
cambuci,2010,8,29.4071428571
carapebus,2010,8,29.4071428571
comendador levy gasparian,2010,8,27.7363575714
campos dos goytacazes,2010,8,29.4071428571
cantagalo,2010,8,27.5122671429
cardoso moreira,2010,8,29.4071428571
carmo,2010,8,27.5122671429
casimiro de abreu,2010,8,27.5122671429
conceicao de macabu,2010,8,29.4071428571
cordeiro,2010,8,27.5122671429
duas barras,2010,8,27.5122671429
duque de caxias,2010,8,27.7363575714
engenheiro paulo de frontin,2010,8,28.9399718571
guapimirim,2010,8,27.7363575714
iguaba grande,2010,8,28.5054117143
itaborai,2010,8,27.7363575714
itaguai,2010,8,28.9399718571
italva,2010,8,29.4071428571
itaocara,2010,8,29.4071428571
itaperuna,2010,8,29.4071428571
itatiaia,2010,8,25.6501832857
japeri,2010,8,27.7363575714
laje do muriae,2010,8,29.4071428571
macae,2010,8,27.5122671429
macuco,2010,8,27.5122671429
mage,2010,8,27.7363575714
mangaratiba,2010,8,26.4764022857
marica,2010,8,27.7363575714
mendes,2010,8,28.9399718571
mesquita,2010,8,23.8088957143
miguel pereira,2010,8,27.7363575714
miracema,2010,8,29.4071428571
natividade,2010,8,29.4071428571
nilopolis,2010,8,27.7363575714
niteroi,2010,8,27.7363575714
nova friburgo,2010,8,27.5122671429
nova iguacu,2010,8,27.7363575714
paracambi,2010,8,28.9399718571
paraiba do sul,2010,8,27.7363575714
paraty,2010,8,25.6501832857
paty do alferes,2010,8,27.7363575714
petropolis,2010,8,27.7363575714
pinheiral,2010,8,28.9399718571
pirai,2010,8,28.9399718571
porciuncula,2010,8,29.4071428571
porto real,2010,8,25.6501832857
quatis,2010,8,25.6501832857
queimados,2010,8,28.9399718571
quissama,2010,8,29.4071428571
resende,2010,8,25.6501832857
rio bonito,2010,8,27.763889
rio claro,2010,8,28.9399718571
rio das flores,2010,8,27.7363575714
rio das ostras,2010,8,27.5122671429
rio de janeiro,2010,8,27.7363575714
santa maria madalena,2010,8,29.4071428571
santo antonio de padua,2010,8,29.4071428571
sao francisco de itabapoana,2010,8,29.4071428571
sao fidelis,2010,8,29.4071428571
sao goncalo,2010,8,27.7363575714
sao joao da barra,2010,8,29.4071428571
sao joao de meriti,2010,8,27.7363575714
sao jose de uba,2010,8,29.4071428571
sao jose do vale do rio preto,2010,8,27.7363575714
sao pedro da aldeia,2010,8,28.5054117143
sao sebastiao do alto,2010,8,29.4071428571
sapucaia,2010,8,27.7363575714
saquarema,2010,8,28.5054117143
seropedica,2010,8,28.9399718571
silva jardim,2010,8,28.5054117143
sumidouro,2010,8,27.5122671429
tangua,2010,8,27.7363575714
teresopolis,2010,8,27.7363575714
trajano de moraes,2010,8,27.5122671429
tres rios,2010,8,27.7363575714
valenca,2010,8,24.9113795714
varre-sai,2010,8,29.4071428571
vassouras,2010,8,27.7363575714
volta redonda,2010,8,26.4764022857
angra dos reis,2010,9,21.8131865714
aperibe,2010,9,25.8575187143
araruama,2010,9,25.585498
areal,2010,9,23.4484352857
armacao dos buzios,2010,9,24.9393424286
arraial do cabo,2010,9,25.585498
barra do pirai,2010,9,23.0913481429
barra mansa,2010,9,24.7388434286
belford roxo,2010,9,23.4484352857
bom jardim,2010,9,24.9393424286
bom jesus do itabapoana,2010,9,25.8575187143
cabo frio,2010,9,25.585498
cachoeiras de macacu,2010,9,23.4484352857
cambuci,2010,9,25.8575187143
carapebus,2010,9,25.8575187143
comendador levy gasparian,2010,9,23.4484352857
campos dos goytacazes,2010,9,25.8575187143
cantagalo,2010,9,24.9393424286
cardoso moreira,2010,9,25.8575187143
carmo,2010,9,24.9393424286
casimiro de abreu,2010,9,24.9393424286
conceicao de macabu,2010,9,25.8575187143
cordeiro,2010,9,24.9393424286
duas barras,2010,9,24.9393424286
duque de caxias,2010,9,23.4484352857
engenheiro paulo de frontin,2010,9,24.7388434286
guapimirim,2010,9,23.4484352857
iguaba grande,2010,9,25.585498
itaborai,2010,9,23.4484352857
itaguai,2010,9,24.7388434286
italva,2010,9,25.8575187143
itaocara,2010,9,25.8575187143
itaperuna,2010,9,25.8575187143
itatiaia,2010,9,21.8131865714
japeri,2010,9,23.4484352857
laje do muriae,2010,9,25.8575187143
macae,2010,9,24.9393424286
macuco,2010,9,24.9393424286
