municipio,year,week,cases
duque de caxias,2010,6,15
engenheiro paulo de frontin,2010,6,0
guapimirim,2010,6,0
iguaba grande,2010,6,0
itaborai,2010,6,36
itaguai,2010,6,6
italva,2010,6,1
itaocara,2010,6,0
itaperuna,2010,6,5
itatiaia,2010,6,0
japeri,2010,6,0
laje do muriae,2010,6,0
macae,2010,6,47
macuco,2010,6,0
mage,2010,6,3
mangaratiba,2010,6,2
marica,2010,6,1
mendes,2010,6,0
mesquita,2010,6,0
miguel pereira,2010,6,0
miracema,2010,6,0
natividade,2010,6,16
nilopolis,2010,6,0
niteroi,2010,6,11
nova friburgo,2010,6,4
nova iguacu,2010,6,10
paracambi,2010,6,1
paraiba do sul,2010,6,0
paraty,2010,6,16
paty do alferes,2010,6,0
petropolis,2010,6,0
pinheiral,2010,6,3
pirai,2010,6,1
porciuncula,2010,6,17
porto real,2010,6,0
quatis,2010,6,0
queimados,2010,6,2
quissama,2010,6,0
resende,2010,6,1
rio bonito,2010,6,24
rio claro,2010,6,0
rio das flores,2010,6,0
rio das ostras,2010,6,9
rio de janeiro,2010,6,56
santa maria madalena,2010,6,0
santo antonio de padua,2010,6,0
sao francisco de itabapoana,2010,6,0
sao fidelis,2010,6,0
sao goncalo,2010,6,9
sao joao da barra,2010,6,0
sao joao de meriti,2010,6,3
sao jose de uba,2010,6,0
sao jose do vale do rio preto,2010,6,1
sao pedro da aldeia,2010,6,0
sao sebastiao do alto,2010,6,0
sapucaia,2010,6,0
saquarema,2010,6,0
seropedica,2010,6,2
silva jardim,2010,6,1
sumidouro,2010,6,0
tangua,2010,6,58
teresopolis,2010,6,0
trajano de moraes,2010,6,0
tres rios,2010,6,1
valenca,2010,6,2
varre-sai,2010,6,0
vassouras,2010,6,3
volta redonda,2010,6,3
angra dos reis,2010,7,16
aperibe,2010,7,0
araruama,2010,7,6
areal,2010,7,0
armacao dos buzios,2010,7,0
arraial do cabo,2010,7,2
barra do pirai,2010,7,0
barra mansa,2010,7,2
belford roxo,2010,7,7
bom jardim,2010,7,0
bom jesus do itabapoana,2010,7,0
cabo frio,2010,7,1
cachoeiras de macacu,2010,7,6
cambuci,2010,7,0
carapebus,2010,7,0
comendador levy gasparian,2010,7,0
campos dos goytacazes,2010,7,68
cantagalo,2010,7,0
cardoso moreira,2010,7,0
carmo,2010,7,0
casimiro de abreu,2010,7,69
conceicao de macabu,2010,7,0
cordeiro,2010,7,0
duas barras,2010,7,0
duque de caxias,2010,7,10
engenheiro paulo de frontin,2010,7,0
guapimirim,2010,7,1
iguaba grande,2010,7,2
itaborai,2010,7,43
itaguai,2010,7,9
italva,2010,7,1
itaocara,2010,7,0
itaperuna,2010,7,11
itatiaia,2010,7,0
japeri,2010,7,0
laje do muriae,2010,7,0
macae,2010,7,39
macuco,2010,7,0
mage,2010,7,7
mangaratiba,2010,7,2
marica,2010,7,1
mendes,2010,7,0
mesquita,2010,7,0
miguel pereira,2010,7,0
miracema,2010,7,0
natividade,2010,7,23
nilopolis,2010,7,2
niteroi,2010,7,14
nova friburgo,2010,7,3
nova iguacu,2010,7,10
paracambi,2010,7,1
paraiba do sul,2010,7,0
paraty,2010,7,23
paty do alferes,2010,7,0
petropolis,2010,7,2
pinheiral,2010,7,1
pirai,2010,7,0
porciuncula,2010,7,22
porto real,2010,7,0
quatis,2010,7,0
queimados,2010,7,3
quissama,2010,7,1
resende,2010,7,2
rio bonito,2010,7,23
rio claro,2010,7,0
rio das flores,2010,7,0
rio das ostras,2010,7,8
rio de janeiro,2010,7,66
santa maria madalena,2010,7,0
santo antonio de padua,2010,7,1
sao francisco de itabapoana,2010,7,1
sao fidelis,2010,7,0
sao goncalo,2010,7,8
sao joao da barra,2010,7,0
sao joao de meriti,2010,7,8
sao jose de uba,2010,7,0
sao jose do vale do rio preto,2010,7,4
sao pedro da aldeia,2010,7,3
sao sebastiao do alto,2010,7,0
sapucaia,2010,7,0
saquarema,2010,7,1
seropedica,2010,7,1
silva jardim,2010,7,0
sumidouro,2010,7,0
tangua,2010,7,93
teresopolis,2010,7,0
trajano de moraes,2010,7,0
tres rios,2010,7,1
valenca,2010,7,6
varre-sai,2010,7,0
vassouras,2010,7,1
volta redonda,2010,7,4
angra dos reis,2010,8,19
aperibe,2010,8,0
araruama,2010,8,8
areal,2010,8,0
armacao dos buzios,2010,8,0
arraial do cabo,2010,8,1
barra do pirai,2010,8,0
barra mansa,2010,8,6
belford roxo,2010,8,11
bom jardim,2010,8,0
bom jesus do itabapoana,2010,8,0
cabo frio,2010,8,1
cachoeiras de macacu,2010,8,9
cambuci,2010,8,3
carapebus,2010,8,0
comendador levy gasparian,2010,8,0
campos dos goytacazes,2010,8,79
cantagalo,2010,8,1
cardoso moreira,2010,8,0
carmo,2010,8,0
casimiro de abreu,2010,8,77
conceicao de macabu,2010,8,0
cordeiro,2010,8,0
duas barras,2010,8,0
duque de caxias,2010,8,21
engenheiro paulo de frontin,2010,8,0
guapimirim,2010,8,0
iguaba grande,2010,8,1
itaborai,2010,8,73
itaguai,2010,8,10
italva,2010,8,0
itaocara,2010,8,0
itaperuna,2010,8,8
itatiaia,2010,8,0
japeri,2010,8,1
laje do muriae,2010,8,0
macae,2010,8,30
macuco,2010,8,0
mage,2010,8,6
mangaratiba,2010,8,0
marica,2010,8,1
mendes,2010,8,0
mesquita,2010,8,1
miguel pereira,2010,8,1
miracema,2010,8,0
natividade,2010,8,20
nilopolis,2010,8,1
niteroi,2010,8,20
nova friburgo,2010,8,0
nova iguacu,2010,8,13
paracambi,2010,8,0
paraiba do sul,2010,8,0
paraty,2010,8,30
paty do alferes,2010,8,0
petropolis,2010,8,2
pinheiral,2010,8,0
pirai,2010,8,1
porciuncula,2010,8,22
porto real,2010,8,0
quatis,2010,8,0
queimados,2010,8,2
quissama,2010,8,1
resende,2010,8,1
rio bonito,2010,8,27
rio claro,2010,8,0
rio das flores,2010,8,0
rio das ostras,2010,8,2
rio de janeiro,2010,8,74
santa maria madalena,2010,8,0
santo antonio de padua,2010,8,1
sao francisco de itabapoana,2010,8,0
sao fidelis,2010,8,2
sao goncalo,2010,8,21
sao joao da barra,2010,8,0
sao joao de meriti,2010,8,5
sao jose de uba,2010,8,0
sao jose do vale do rio preto,2010,8,7
sao pedro da aldeia,2010,8,1
sao sebastiao do alto,2010,8,0
sapucaia,2010,8,0
saquarema,2010,8,2
seropedica,2010,8,4
silva jardim,2010,8,0
sumidouro,2010,8,0
tangua,2010,8,246
teresopolis,2010,8,0
trajano de moraes,2010,8,0
tres rios,2010,8,0
valenca,2010,8,5
varre-sai,2010,8,0
vassouras,2010,8,2
volta redonda,2010,8,1
angra dos reis,2010,9,43
aperibe,2010,9,0
araruama,2010,9,11
areal,2010,9,0
armacao dos buzios,2010,9,0
arraial do cabo,2010,9,1
barra do pirai,2010,9,1
barra mansa,2010,9,3
belford roxo,2010,9,14
bom jardim,2010,9,0
bom jesus do itabapoana,2010,9,0
cabo frio,2010,9,4
cachoeiras de macacu,2010,9,7
cambuci,2010,9,1
carapebus,2010,9,0
comendador levy gasparian,2010,9,2
campos dos goytacazes,2010,9,68
cantagalo,2010,9,0
cardoso moreira,2010,9,1
carmo,2010,9,0
casimiro de abreu,2010,9,54
conceicao de macabu,2010,9,0
cordeiro,2010,9,2
duas barras,2010,9,0
duque de caxias,2010,9,16
engenheiro paulo de frontin,2010,9,0
guapimirim,2010,9,0
iguaba grande,2010,9,0
itaborai,2010,9,52
itaguai,2010,9,9
italva,2010,9,1
itaocara,2010,9,0
itaperuna,2010,9,21
itatiaia,2010,9,0
japeri,2010,9,0
laje do muriae,2010,9,0
macae,2010,9,51
macuco,2010,9,0
mage,2010,9,9
mangaratiba,2010,9,1
marica,2010,9,0
mendes,2010,9,0
mesquita,2010,9,1
miguel pereira,2010,9,0
miracema,2010,9,1
natividade,2010,9,38
nilopolis,2010,9,0
niteroi,2010,9,20
nova friburgo,2010,9,2
nova iguacu,2010,9,11
paracambi,2010,9,0
paraiba do sul,2010,9,0
paraty,2010,9,25
paty do alferes,2010,9,1
petropolis,2010,9,2
pinheiral,2010,9,1
pirai,2010,9,1
porciuncula,2010,9,17
porto real,2010,9,0
quatis,2010,9,0
queimados,2010,9,5
quissama,2010,9,1
resende,2010,9,7
rio bonito,2010,9,18
rio claro,2010,9,0
rio das flores,2010,9,0
rio das ostras,2010,9,3
rio de janeiro,2010,9,95
santa maria madalena,2010,9,0
santo antonio de padua,2010,9,2
sao francisco de itabapoana,2010,9,0
sao fidelis,2010,9,5
sao goncalo,2010,9,55
sao joao da barra,2010,9,0
sao joao de meriti,2010,9,10
sao jose de uba,2010,9,0
sao jose do vale do rio preto,2010,9,9
sao pedro da aldeia,2010,9,3
sao sebastiao do alto,2010,9,0
sapucaia,2010,9,0
