municipio,year,week,rainfall
angra dos reis,2021,44,45.871602
angra dos reis,2021,45,50.584197999999994
angra dos reis,2021,46,53.703953
angra dos reis,2021,47,51.215801000000006
angra dos reis,2021,48,53.438025999999994
angra dos reis,2021,49,54.607656000000006
angra dos reis,2021,50,55.309506000000006
angra dos reis,2021,51,60.997656000000006
angra dos reis,2021,52,35.397532
angra dos reis,2022,1,66.355681
angra dos reis,2022,2,69.61049499999999
angra dos reis,2022,3,71.96074180000001
angra dos reis,2022,4,74.37111220000001
angra dos reis,2022,5,49.695558
angra dos reis,2022,6,61.42518700000001
angra dos reis,2022,7,66.02123500000002
angra dos reis,2022,8,41.32419900000001
angra dos reis,2022,9,71.03259299999999
angra dos reis,2022,10,59.814074
angra dos reis,2022,11,56.620494
angra dos reis,2022,12,69.3466662
angra dos reis,2022,13,45.5096298
angra dos reis,2022,14,36.84247
angra dos reis,2022,15,29.450986599999997
angra dos reis,2022,16,29.4045674
angra dos reis,2022,17,28.180493799999997
angra dos reis,2022,18,21.0449386
angra dos reis,2022,19,21.0066666
angra dos reis,2022,20,20.13679
angra dos reis,2022,21,18.000370500000002
angra dos reis,2022,22,14.5319755
angra dos reis,2022,23,14.6207408
angra dos reis,2022,24,9.3108638
angra dos reis,2022,25,12.5827166
angra dos reis,2022,26,12.0376547
angra dos reis,2022,27,10.5838271
angra dos reis,2022,28,13.153949900000002
angra dos reis,2022,29,15.139629500000002
angra dos reis,2022,30,14.2533336
angra dos reis,2022,31,12.548148200000002
angra dos reis,2022,32,11.421234600000002
angra dos reis,2022,33,11.0395062
angra dos reis,2022,34,13.820247
angra dos reis,2022,35,16.8024688
angra dos reis,2022,36,22.594690899999996
angra dos reis,2022,37,23.1976549
angra dos reis,2022,38,30.4988884
angra dos reis,2022,39,34.712715
angra dos reis,2022,40,37.946048000000005
angra dos reis,2022,41,36.37568
angra dos reis,2022,42,39.263952
angra dos reis,2022,43,43.463952
angra dos reis,2022,44,39.318516
angra dos reis,2022,45,49.406049
angra dos reis,2022,46,54.118644999999994
angra dos reis,2022,47,51.215801000000006
angra dos reis,2022,48,52.993581
angra dos reis,2022,49,54.467286
angra dos reis,2022,50,55.309506000000006
angra dos reis,2022,51,60.049631000000005
angra dos reis,2022,52,63.20568100000001
angra dos reis,2023,1,66.355681
angra dos reis,2023,2,69.06802599999999
angra dos reis,2023,3,71.3581492
angra dos reis,2023,4,74.37111220000001
angra dos reis,2023,5,52.0374096
angra dos reis,2023,6,60.27617500000001
angra dos reis,2023,7,66.02123500000002
angra dos reis,2023,8,44.85234700000001
angra dos reis,2023,9,68.049013
angra dos reis,2023,10,60.612469
angra dos reis,2023,11,56.620494
angra dos reis,2023,12,67.5286416
angra dos reis,2023,13,50.1530864
angra dos reis,2023,14,36.84247
angra dos reis,2023,15,30.506912799999995
angra dos reis,2023,16,29.4161722
angra dos reis,2023,17,29.369752999999996
angra dos reis,2023,18,21.0449386
angra dos reis,2023,19,21.014321
angra dos reis,2023,20,20.5640739
angra dos reis,2023,21,18.000370500000002
angra dos reis,2023,22,14.7113582
angra dos reis,2023,23,15.6827162
angra dos reis,2023,24,9.3108638
angra dos reis,2023,25,12.0374078
angra dos reis,2023,26,12.401111599999998
angra dos reis,2023,27,10.5838271
angra dos reis,2023,28,12.786789500000005
angra dos reis,2023,29,14.6432096
angra dos reis,2023,30,16.6288892
angra dos reis,2023,31,10.7555556
angra dos reis,2023,32,11.702963
angra dos reis,2023,33,10.5760494
angra dos reis,2023,34,13.820247
angra dos reis,2023,35,15.5633331
angra dos reis,2023,36,22.494196899999995
angra dos reis,2023,37,23.1976549
angra dos reis,2023,38,29.0386417
angra dos reis,2023,39,34.0660484
angra dos reis,2023,40,37.946048000000005
angra dos reis,2023,41,36.637408
angra dos reis,2023,42,38.213952
angra dos reis,2023,43,43.463952
angra dos reis,2023,44,38.974566
angra dos reis,2023,45,48.2279
angra dos reis,2023,46,54.118644999999994
angra dos reis,2023,47,51.63049300000001
angra dos reis,2023,48,52.549136
angra dos reis,2023,49,54.326916
angra dos reis,2023,50,55.309506000000006
angra dos reis,2023,51,59.101606
angra dos reis,2023,52,62.575681
angra dos reis,2024,1,75.20506400000001
angra dos reis,2024,2,68.52555699999999
angra dos reis,2024,3,70.75555659999999
angra dos reis,2024,4,74.37111220000001
angra dos reis,2024,5,54.379261199999995
angra dos reis,2024,6,59.127163
angra dos reis,2024,7,66.02123500000002
angra dos reis,2024,8,48.38049500000001
angra dos reis,2024,9,56.178396
angra dos reis,2024,10,62.209259
angra dos reis,2024,11,56.620494
angra dos reis,2024,12,63.892592400000005
angra dos reis,2024,13,59.4399996
angra dos reis,2024,14,36.84247
angra dos reis,2024,15,32.6187652
angra dos reis,2024,16,29.4393818
angra dos reis,2024,17,29.369752999999996
angra dos reis,2024,18,23.423457
angra dos reis,2024,19,21.0296298
angra dos reis,2024,20,20.9913578
angra dos reis,2024,21,18.4276544
angra dos reis,2024,22,15.0701236
angra dos reis,2024,23,16.7446916
angra dos reis,2024,24,10.3728392
angra dos reis,2024,25,10.9467902
angra dos reis,2024,26,13.1280254
angra dos reis,2024,27,10.5838271
angra dos reis,2024,28,12.052468700000002
